CodigoContexto;CodigoFraccion;CodigoMuestra;CodigoTaxon;CodigoYacimiento;Conservacion;CulturaContexto;Divisor;Especie;esTaxonSQLFastUUID;Familia;FaseContexto;Fragmentos;Genero;GrupoTaxon;Identificacion;Individuos;LabelResto;ListaTerritorios;MultiFrag;MultiIndi;MultiNMI;Multiplicador;NMI;NombreCientifico;Observaciones;TAQContexto;TaxonAnalitica1;TaxonAnalitica1Etiqueta;TaxonAnalitica2;TaxonAnalitica2Etiqueta;TaxonAnalitica3;TaxonAnalitica3Etiqueta;TipoTaxon;TPQContexto
3149;f-0,25mm;3149-1;TRMOD;MFAB;Carbonizado;Primer Hierro;2;"Triticum monococcum
Triticum dicoccum";1;Poaceae;Ferro VII-VI;;Triticum;Cereales;;1;"Triticum monococcum/dicoccum ; Semilla carb.";;0;1;1;1;1;Triticum monococcum/dicoccum;foto;-500;;;;;;;Semilla;-700
3158;f-0,25mm;3158-1;ARUNE;MFAB;Carbonizado;Islámico;2;Arbutus unedo;1;Ericaceae;Islàmic IX-X;1;Arbutus;Frutos recolectados;;;"Arbutus unedo ; Fruto carb.";;0;0;0;1;0,5;Arbutus unedo;foto;1000;;;;;;;Fruto;800
3018B;f-0,25mm;3018B-1;TRIT;MFAB;Carbonizado;Islámico;2;Triticum sp.;1;Poaceae;Islàmic IX-XI;;Triticum;Cereales;;1;"Triticum sp. ; Semilla carb.";;0;1;1;1;1;Triticum sp.;;1100;;;;;;;Semilla;800
3040;f-0,25mm;3040-1;OLEU;MFAB;Carbonizado;Islámico;2;Olea europaea;1;Oleaceae;Islàmic IX-X;;Olea;Frutos cultivados;;1;"Olea europaea ; Semilla carb.";;0;1;1;1;1;Olea europaea;foto;1000;;;;;;;Semilla;800
3048;f-0,25mm;3048-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-XI;;Triticum;Cereales;;3;"Triticum aestivum/durum ; Semilla carb.";;0;3;3;1;3;Triticum aestivum/durum;;1100;;;;;;;Semilla;800
3048;f-0,25mm;3048-1;TRIT;MFAB;Carbonizado;Islámico;2;Triticum sp.;0;Poaceae;Islàmic IX-XI;;Triticum;Cereales;;1;"Triticum sp. ; Semilla carb.";;0;1;1;1;1;Triticum sp.;;1100;;;;;;;Semilla;800
3049;f-0,25mm;3049-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-XI;;Triticum;Cereales;;2;"Triticum aestivum/durum ; Semilla carb.";;0;2;2;1;2;Triticum aestivum/durum;;1100;;;;;;;Semilla;800
3049;f-0,25mm;3049-1;CEREA;MFAB;Carbonizado;Islámico;2;Cerealia indet.;0;Poaceae;Islàmic IX-XI;1;Cerealia;Cereales;;;"Cerealia indet. ; Semilla carb.";;0;0;0;1;0,5;Cerealia indet.;;1100;;;;;;;Semilla;800
3070;f-0,25mm;3070-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-XI;;Triticum;Cereales;;1;"Triticum aestivum/durum ; Semilla carb.";;0;1;1;1;1;Triticum aestivum/durum;;1100;;;;;;;Semilla;800
3151B;f-0,25mm;3151B-1;HOVUL;MFAB;Carbonizado;Islámico;2;Hordeum vulgare;1;Poaceae;Islàmic IX-X;;Hordeum;Cereales;;1;"Hordeum vulgare ; Semilla carb.";;0;1;1;1;1;Hordeum vulgare;;1000;;;;;;;Semilla;800
3151B;f-0,25mm;3151B-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-X;;Triticum;Cereales;;7;"Triticum aestivum/durum ; Semilla carb.";;0;7;7;1;7;Triticum aestivum/durum;foto;1000;;;;;;;Semilla;800
3151B;f-0,25mm;3151B-1;TRIT;MFAB;Carbonizado;Islámico;2;Triticum sp.;0;Poaceae;Islàmic IX-X;;Triticum;Cereales;;1;"Triticum sp. ; Semilla carb.";;0;1;1;1;1;Triticum sp.;;1000;;;;;;;Semilla;800
3151B;f-0,25mm;3151B-1;CEREA;MFAB;Carbonizado;Islámico;2;Cerealia indet.;0;Poaceae;Islàmic IX-X;8;Cerealia;Cereales;;;"Cerealia indet. ; Semilla carb.";;0;0;0;1;4;Cerealia indet.;;1000;;;;;;;Semilla;800
3154;f-0,25mm;3154-1;TRIT;MFAB;Carbonizado;Islámico;2;Triticum sp.;1;Poaceae;Islàmic IX-X;;Triticum;Cereales;;2;"Triticum sp. ; Semilla carb.";;0;2;2;1;2;Triticum sp.;;1000;;;;;;;Semilla;800
3154;f-0,25mm;3154-1;CEREA;MFAB;Carbonizado;Islámico;2;Cerealia indet.;0;Poaceae;Islàmic IX-X;3;Cerealia;Cereales;;;"Cerealia indet. ; Semilla carb.";;0;0;0;1;1,5;Cerealia indet.;;1000;;;;;;;Semilla;800
3166;f-0,25mm;3166-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-X;;Triticum;Cereales;;2;"Triticum aestivum/durum ; Semilla carb.";;0;2;2;1;2;Triticum aestivum/durum;;1000;;;;;;;Semilla;800
3154;f-0,25mm;3154-1;TRIT;MFAB;Carbonizado;Islámico;2;Triticum sp.;1;Poaceae;Islàmic IX-X;;Triticum;Cereales;;2;"Triticum sp. ; Semilla carb.";;0;2;2;1;2;Triticum sp.;;1000;;;;;;;Semilla;800
3154;f-0,25mm;3154-1;CEREA;MFAB;Carbonizado;Islámico;2;Cerealia indet.;0;Poaceae;Islàmic IX-X;3;Cerealia;Cereales;;;"Cerealia indet. ; Semilla carb.";;0;0;0;1;1,5;Cerealia indet.;;1000;;;;;;;Semilla;800
3166;f-0,25mm;3166-1;TRADD;MFAB;Carbonizado;Islámico;2;"Triticum aestivum
Triticum durum";1;Poaceae;Islàmic IX-X;;Triticum;Cereales;;2;"Triticum aestivum/durum ; Semilla carb.";;0;2;2;1;2;Triticum aestivum/durum;;1000;;;;;;;Semilla;800
